stop_id,lat,lon,display_name
349,49.108489,6.187704,FRIANT
335,49.108292,6.187799,FRIANT
58,49.099956,6.141987,LES<br>FRICHES
45,49.100092,6.141906,LES<br>FRICHES
727,49.140225,6.135597,FRIERES
728,49.140389,6.135206,FRIERES
971,49.058520,6.264080,FRONTIGNY
989,49.058560,6.263770,FRONTIGNY
459,49.149412,6.159712,GAMBETTA
475,49.149042,6.159950,GAMBETTA
473,49.115663,6.203952,GANNE
461,49.115691,6.205455,GANNE
6140,49.110368,6.177609,GARE
6145,49.110368,6.177612,GARE
113,49.110333,6.175233,GARE
30,49.111060,6.177060,GARE
4,49.110660,6.176990,GARE
90,49.110090,6.176000,GARE
712,49.070241,6.137608,GARE<br>D'AUGNY
701,49.070173,6.137548,GARE<br>D'AUGNY
5033,49.076504,6.146581,GARENNES
5003,49.076504,6.146581,GARENNES
860,49.148622,6.155402,GARE<br>DE<br>WOIPPY
857,49.148684,6.155414,GARE<br>DE<br>WOIPPY
966,49.075660,6.226840,GARGAN
982,49.075720,6.226751,GARGAN
575,49.093513,6.229834,GRANDES<br>ECOLES
854,49.093679,6.230222,GRANDES<br>ECOLES
808,49.182847,6.040271,GRANDE<br>FLAMEE
344,49.098141,6.194560,GRANDMAISON
340,49.098026,6.194235,GRANDMAISON
194,49.104692,6.199506,GENDARMERIE
182,49.104620,6.199807,GENDARMERIE
342,49.099973,6.205506,GENERAL<br>FRERE
566,49.100258,6.206111,GENERAL<br>FRERE
66,49.105495,6.163655,GENIE
37,49.105230,6.163460,GENIE
382,49.122093,6.216607,GENIVAUX
374,49.122094,6.216592,GENIVAUX
343,49.097516,6.199615,GIRAUDOUX
341,49.097190,6.200550,GIRAUDOUX
846,49.055839,6.119819,GLISSU
840,49.055862,6.119844,GLISSU
187,49.101521,6.194532,GOUSSEL
188,49.101557,6.195569,GOUSSEL
6310,49.105102,6.223345,GRAHAM<br>BELL
6315,49.105102,6.223345,GRAHAM<br>BELL
795,49.109121,6.030342,GRAVELOTTE<br>EGLISE
793,49.109137,6.030328,GRAVELOTTE<br>EGLISE
963,49.080800,6.110390,GRAVIERES
627,49.146123,6.190577,GRANGE-AUX-DAMES
617,49.146467,6.190832,GRANGE-AUX-DAMES
721,49.168624,6.048391,AMANVILLERS<br>GRAND<br>RUE
734,49.168641,6.048531,AMANVILLERS<br>GRAND<br>RUE
354,49.118410,6.218702,GRELLOIS
356,49.118381,6.218578,GRELLOIS
895,49.095068,6.220689,GRIGY
898,49.095073,6.220749,GRIGY
5057,49.140488,6.217544,GRIMONT
5034,49.080851,6.146461,GRANGE<br>AUX<br>ORMES
5002,49.080670,6.146240,GRANGE<br>AUX<br>ORMES
153,49.133828,6.280047,GROS<br>NOYERS
6290,49.111443,6.218923,GUYENNE
6295,49.111443,6.218923,GUYENNE
210,49.110841,6.097291,HAIE<br>BRULEE
278,49.111049,6.096904,HAIE<br>BRULEE
807,49.186009,6.037485,HAMEAU<br>JERUSALEM
942,49.186111,6.038332,HAMEAU<br>JERUSALEM
801,49.185555,6.040000,HAMEAU<br>JERUSALEM
5015,49.067217,6.169898,HAUTS<br>DE<br>BOUTAN
348,49.105859,6.187393,HERMITE
336,49.105763,6.187373,HERMITE
286,49.100964,6.191641,HESTAUX
287,49.100936,6.191504,HESTAUX
5055,49.131963,6.209181,HETRES
5041,49.132344,6.208729,HETRES
902,49.085830,6.243860,HOPITAL<br>MERCY
900,49.085840,6.243710,HOPITAL<br>MERCY
511,49.092979,6.172841,LA<br>HORGNE
134,49.093283,6.172531,LA<br>HORGNE
5027,49.060077,6.154155,HOTEL<br>DE<br>VILLE
5010,49.060039,6.154227,HOTEL<br>DE<br>VILLE
903,49.123286,6.242129,HOPITAL<br>SCHUMAN
904,49.123709,6.242434,HOPITAL<br>SCHUMAN
5053,49.135105,6.213814,HAUT<br>SORET
5046,49.135420,6.213610,HAUT<br>SORET
311,49.074131,6.190759,HAUTS-DE-MAGNY
585,49.074087,6.190827,HAUTS-DE-MAGNY
56,49.099066,6.132326,HAUT-RHELE
47,49.099083,6.132364,HAUT-RHELE
317,49.132800,6.135280,HAUT<br>DE<br>WOICON
641,49.151735,6.189134,IKEA
642,49.151769,6.188096,IKEA
456,49.140476,6.165982,INTENDANTS<br>JOBA
443,49.141590,6.165230,INTENDANTS<br>JOBA
378,49.123956,6.225906,JACINTHES
437,49.123890,6.226270,JACINTHES
5106,49.089281,6.153389,JEANNE<br>D'ARC
5524,49.089642,6.153691,JEANNE<br>D'ARC
532,49.091728,6.167170,JERUSALEM
531,49.091910,6.167250,JERUSALEM
867,49.077520,6.080706,JEAN<br>FERRAT
866,49.078385,6.081764,JEAN<br>FERRAT
648,49.153155,6.139950,JEAN<br>LAURAIN
647,49.153314,6.139920,JEAN<br>LAURAIN
467,49.107634,6.227988,JULES<br>MICHELET
521,49.107319,6.228185,JULES<br>MICHELET
6050,49.141569,6.165333,INTENDANTS<br>JOBA
6055,49.141186,6.165521,INTENDANTS<br>JOBA
5025,49.058975,6.158887,CROIX<br>ST<br>JOSEPH
5012,49.058990,6.159201,CROIX<br>ST<br>JOSEPH
494,49.123025,6.206269,JOUSSE
481,49.122933,6.206892,JOUSSE
491,49.125797,6.217510,J.P.<br>JEAN
484,49.125759,6.217174,J.P.<br>JEAN
493,49.122481,6.212212,JUGAN
482,49.122370,6.213373,JUGAN
392,49.118136,6.189842,JUIN
364,49.118409,6.189948,JUIN
859,49.148516,6.152681,JUNGLING
858,49.148392,6.152380,JUNGLING
386,49.118481,6.200633,JURA
370,49.118479,6.200509,JURA
979,49.069560,6.253290,JURY
969,49.069640,6.253580,JURY
231,49.105080,6.089318,JUSSY<br>-<br>STE-RUFFINE
719,49.166549,6.038358,JUSTICE
28,49.112745,6.185069,LACRETELLE
6,49.113428,6.185961,LACRETELLE
329,49.129037,6.130390,LA<br>CROIX
544,49.098943,6.243364,LA<br>DAME
541,49.098572,6.243959,LA<br>DAME
